AARON,RON
AARON,RONNIE
ABIGAIL,ABBIE
ABIGAIL,ABBY
ABIGAIL,GAIL
ABRAHAM,ABE
ABRAM,ABE
ADALINE,ADA
ADALINE,ADDY
AGATHA,AGGY
AGNES,AGGY
AILEEN,LENA
ALAN,AL
ALBERT,AL
ALBERT,BERT
ALDO,AL
ALDRICH,RICH
ALDRICH,RICHIE
ALEXANDER,AL
ALEXANDER,ALEX
ALEXANDRA,ALEX
ALFONSE,AL
ALFRED,AL
ALFRED,FRED
ALFREDA,FREDA
ALFREDA,FREDDY
ALICE,ALLIE
ALICIA,ALLIE
ALLAN,AL
ALLEN,AL
ALMENA,ALLIE
ALONZO,AL
AMANDA,MANDY
AMELIA,EMILY
ANDERSON,ANDY
ANDREW,ANDY
ANDREW,DREW
ANN,ANNIE
ANNE,ANNIE
ANTHONY,TONY
ANTOINETTE,ANN
ANTOINETTE,TONI
ANTONIA,ANN
ARABELLA,ARA
ARABELLA,BELLA
ARABELLA,BELLE
ARABELLE,ARA
ARCHIBALD,ARCHIE
ARLENE,ARLY
ARLENE,LENA
ARTHUR,ART
AUGUSTINA,TINA
AUGUSTINE,GUS
AUGUSTUS,GUS
BARBARA,BABS
BARBARA,BARBIE
BARBARA,BARB
BARNABAS,BARNEY
BARTHOLOMEW,BART
BEATRICE,BEA
BEATRICE,TRIXIE
BELINDA,BELLE
BELINDA,LINDA
BENEDICT,BEN
BENEDICT,BENNIE
BENJAMIN,BEN
BENJAMIN,BENJY
BENJAMIN,JAMIE
BERNARD,BERNIE
BERTHA,BIRDIE
BRADFORD,BRAD
BRODERICK,BRODY
BRODERICK,RICKY
BRODERICK,ROD
CALVIN,CAL
CAMILE,CAMMIE
CAROLANN,CAROL
CAROLINE,CAROL
CAROLINE,CASSIE
CAROLINE,LYNN
CAROLYN,LYNN
CASSANDRA,CASSIE
CASSANDRA,SANDRA
CASSANDRA,SANDY
CATHERINE,CASSIE
CATHERINE,CATHY
CATHLEEN,CASSIE
CATHLEEN,CATHY
CATHLEEN,LENA
CHARLES,CARL
CHARLES,CHARLIE
CHARLES,CHUCK
CHESTER,CHET
CHRINTINA,CRISSY
CHRINTINE,CRISSY
CHRISTA,CHRIS
CHRISTIAN,CHRIS
CHRISTINA,CHRIS
CHRISTINA,TINA
CHRISTINE,CHRIS
CHRISTINE,TINA
CHRISTOPHER,CHRIS
CINDERLLA,CINDY
CLARISSA,CLARA
CLIFFORD,CLIFF
CLIFTON,CLIFF
CONSTANCE,CONNIE
CORNELIUS,NEIL
CURTIS,CURT
CYNTHIA,CINDY
CYRUS,CY
DANIEL,DAN
DANIEL,DANNY
DARLENE,LENA
DAVID,DAVE
DAVID,DAVEY
DEBORAH,DEB
DEBORAH,DEBBIE
DEBRA,DEB
DEBRA,DEBBIE
DELBERT,BERT
DELBERT,DEL
DELORES,DEE
DELORES,DELLA
DENNIS,DENNIE
DENNIS,DENNY
DENNISON,DENNIS
DERICK,RICK
DERICK,RICKY
DOMENIC,DOM
DOMINICO,DOM
DOMINIC,DOM
DOMINICK,DOM
DONALD,DON
DONALD,DONNIE
DONALD,DONNY
DONATO,DON
DOROTHY,DOLLY
DOROTHY,DORA
DOROTHY,DOT
DOROTHY,DOTTIE
DOROTHY,DOTTY
EDGAR,ED
EDGAR,EDDIE
EDGAR,EDDY
EDITH,EDIE
EDMOND,ED
EDMOND,EDDIE
EDMOND,EDDY
EDMUND,ED
EDMUND,EDDIE
EDMUND,EDDY
EDUARDO,ED
EDUARDO,EDDIE
EDUARDO,EDDY
EDWARD,ED
EDWARD,EDDIE
EDWARD,EDDY
EDWIN,ED
EDWIN,EDDIE
EDWIN,EDDY
EDYTH,EDIE
EDYTH,EDYE
EDYTHE,EDIE
EDYTHE,EDYE
ELBERT,BERT
ELDORA,DORA
ELEANOR,ELAINE
ELEANOR,ELLEN
ELEANOR,NORA
ELIAS,LEE
ELIZABETH,BESS
ELIZABETH,BETH
ELIZABETH,BETSY
ELIZABETH,BETTY
ELIZABETH,LIBBY
ELIZABETH,LIZ
ELIZABETH,LIZZIE
ELWOOD,WOODY
EMELINE,EMILY
EMELINE,EMMA
EMILY,EMMA
ESTELLA,STELLA
EUGENE,GENE
FAITH,FAY
FERDINAND,FRED
FERDINAND,FREDDIE
FERDINAND,FREDDY
FLORENCE,FLO
FLORENCE,FLORA
FRANCES,FRAN
FRANCES,FRANCIE
FRANCES,FRANNIE
FRANCES,FRANNY
FRANCINE,FRAN
FRANCINE,FRANCIE
FRANCINE,FRANNIE
FRANCINE,FRANNY
FRANCIS,FRAN
FRANCIS,FRANK
FRANCIS,FRANKIE
FRANKLIN,FRANK
FREDERICK,FRED
FREDERICK,FREDDIE
FREDERICK,FREDDY
FREDERICKA,FREDA
FRIEDA,FRED
FRIEDA,FREDDIE
FRIEDA,FREDDY
GABRIEL,GABE
GABRIELLA,ELLA
GABRIELLA,GABBY
GABRIELLE,GABBY
GENEVIEVE,EVE
GENEVIEVE,JEAN
GENEVIEVE,JENNY
GEOFFREY,GEOFF
GEOFFREY,JEFF
GEORGINE,GEORGE
GERALD,GERRY
GERALD,JERRY
GERALDINE,GERRIE
GERALDINE,GERRY
GERALDINE,JERRY
GERTRUDE,GERTIE
GERTRUDE,TRUDY
GILBERT,BERT
GILBERT,GIL
GILBERT,WILBER
GWENDOLYN,GWEN
GWENDOLYN,WENDY
HAROLD,HAL
HAROLD,HARRY
HARRIET,HATTIE
HENRIETTA,HENNY
HENRY,HAL
HENRY,HANK
HENRY,HARRY
HERBERT,BERT
HERBERT,HERB
HESTER,HETTY
HIPSBIBAH,HIPSIE
HUBERT,BERT
HUBERT,HUGH
IGNATIUS,IGGY
IRENE,RENA
ISABEL,BELLE
ISABEL,ISSY
ISABELLA,BELLA
ISABELLA,ISSY
ISABELLE,BELLE
ISABELLE,ISSY
ISADORA,DORA
ISADORA,ISSY
ISADORE,IZZY
JACOB,JAKE
JACOB,JAY
JAMES,JAMIE
JAMES,JIM
JAMES,JIMMIE
JAMES,JIMMY
JANET,JAN
JACQUELINE,JACKIE
JEBADIAH,JEB
JEFFERSON,JEFF
JEFFREY,GEOFF
JEFFREY,JEFF
JENNIFER,JENNIE
JENNIFER,JENNY
JEREMIAH,JERRY
JESSICA,JESSIE
JOAN,JO
JOANN,JO
JOANNA,JO
JOANNE,JO
JOHANN,JOHN
JOHANNA,JO
JOHANNAH,HANNAH
JOHANNAH,JO
JONATHAN,JOHN
JONATHAN,JON
JONATHAN,NATHAN
JOSEPH,JODY
JOSEPH,JOE
JOSEPH,JOEY
JOSHUA,JOE
JOSHUA,JOSH
JOSEPHINE,JO
JOSEPHINE,JOEY
JOSEPHINE,JOSEY
JOYCE,JOY
JUDITH,JUDY
JULIA,JULIE
KATELIN,KATE
KATELIN,KAY
KATELIN,KAYE
KATELYN,KATE
KATELYN,KAY
KATELYN,KAYE
KATHERINE,KATE
KATHERINE,KATHY
KATHERINE,KATY
KATHERINE,KAY
KATHERINE,KAYE
KATHLEEN,KATHY
KATHLEEN,KATY
KATHLEEN,LENA
KATHRYN,KATHY
KATY,KATE
KENNETH,KEN
KENNETH,KENNY
KIMBERLEY,KIM
KIMBERLY,KIM
KRISTEN,CHRIS
KRISTIN,CHRIS
KRISTY,CHRIS
LAMONT,MONTY
LATISHA,TISH
LATISHA,TISHA
LAURENCE,LARRY
LAWRENCE,LARRY
LENORA,NORA
LEONARD,LENNY
LEONARD,LEO
LEONARD,LEON
LESTER,LES
LILLIAN,LILLY
LORETTA,LORIE
LORRAINE,LORIE
LOUIS,LOU
LOUISE,LOIS
LOUISE,LOU
LUCAS,LUKE
LUCIAS,LUKE
LUCINDA,LOU
LUCINDA,LUCY
MADELINE,MADDY
MADELINE,MADIE
MADELINE,MAGGIE
MADELINE,MAUD
MADELYN,MADDY
MADELYN,MADIE
MAGDELINA,LENA
MAGDELINA,MADGE
MAGDELINA,MAGGIE
MARCUS,MARK
MARGARET,MAGGIE
MARGARET,MAGGY
MARGARET,MARGE
MARGARET,MARGIE
MARGARET,MARGY
MARGARET,PEGGY
MARGARETTA,GRETTA
MARGARETTA,MADGE
MARGARETTA,MARGE
MARJORIE,MARGIE
MARJORIE,MARGY
MARTIN,MARTY
MARTINA,TINA
MARVIN,MARV
MATHEW,MATT
MATILDA,TILLA
MATTHEW,MATT
MELINDA,LINDA
MELINDA,MEL
MELINDA,MINDY
MELISSA,LISA
MELISSA,MEL
MELISSA,MISSY
MERVIN,MERV
MICHAEL,MICK
MICHAEL,MICKEY
MICHAEL,MIKE
MICHELLE,SHELLY
MITCHELL,MITCH
NAPOLEON,LEON
NATHAN,NATE
NATHANIEL,NAT
NATHANIEL,NATE
NEWTON,NEWT
NICHOLAS,NICK
NICHOLAS,NICKIE
NORBERT,BERT
OBEDIAH,OBIE
OLIVER,OLLIE
OSWALD,OZZY
OSWALD,WALDO
PATRICIA,PAT
PATRICIA,PATSY
PATRICIA,PATTY
PATRICIA,TRISHA
PATRICK,PAT
PAULINA,POLLY
PENELOPE,PENNY
